image_id,fold
Train_371,4
Train_372,3
Train_373,0
Train_374,1
Train_375,0
Train_376,3
Train_377,2
Train_378,1
Train_379,4
Train_380,2
Train_381,4
Train_382,3
Train_383,2
Train_384,3
Train_385,0
Train_386,1
Train_387,1
Train_388,4
Train_389,2
Train_390,3
Train_391,0
Train_392,1
Train_393,0
Train_394,2
Train_395,4
Train_396,2
Train_397,3
Train_398,0
Train_399,1
Train_400,4
Train_401,2
Train_402,3
Train_403,4
Train_404,3
Train_405,4
Train_406,0
Train_407,0
Train_408,1
Train_409,1
Train_410,2
Train_411,4
Train_412,3
Train_413,4
Train_414,0
Train_415,3
Train_416,3
Train_417,1
Train_418,2
Train_419,2
Train_420,3
Train_421,1
Train_422,0
Train_423,0
Train_424,4
Train_425,0
Train_426,1
Train_427,2
Train_428,3
Train_429,4
Train_430,4
Train_431,3
Train_432,2
Train_433,3
Train_434,0
Train_435,1
Train_436,4
Train_437,2
Train_438,3
Train_439,0
Train_440,1
Train_441,4
Train_442,0
Train_443,1
Train_444,2
Train_445,2
Train_446,3
Train_447,0
Train_448,0
Train_449,3
Train_450,2
Train_451,1
Train_452,4
Train_453,2
Train_454,2
Train_455,1
Train_456,4
Train_457,4
Train_458,3
Train_459,1
Train_460,0
Train_461,3
Train_462,0
Train_463,2
Train_464,1
Train_465,4
Train_466,4
Train_467,2
Train_468,0
Train_469,3
Train_470,0
Train_471,2
Train_472,1
Train_473,1
Train_474,4
Train_475,2
Train_476,3
Train_477,3
Train_478,3
Train_479,0
Train_480,0
Train_481,3
Train_482,1
Train_483,4
Train_484,2
Train_485,0
Train_486,3
Train_487,0
Train_488,1
Train_489,4
Train_490,4
Train_491,2
Train_492,2
Train_493,1
Train_494,2
Train_495,3
Train_496,3
Train_497,0
Train_498,1
Train_499,0
Train_500,4
Train_501,2
Train_502,3
Train_503,2
Train_504,1
Train_505,0
Train_506,1
Train_507,4
Train_508,1
Train_509,4
Train_510,2
Train_511,3
Train_512,3
Train_513,0
Train_514,4
Train_515,3
Train_516,2
Train_517,4
Train_518,2
Train_519,3
Train_520,0
Train_521,0
Train_522,0
Train_523,2
Train_524,3
Train_525,1
Train_526,0
Train_527,1
Train_528,4
Train_529,2
Train_530,2
Train_531,3
Train_532,0
Train_533,2
Train_534,4
Train_535,0
Train_536,1
Train_537,4
Train_538,2
Train_539,2
Train_540,3
Train_541,1
Train_542,0
Train_543,1
Train_544,3
Train_545,0
Train_546,4
Train_547,2
Train_548,2
Train_549,3
Train_550,0
Train_551,3
Train_552,3
Train_553,0
Train_554,0
Train_555,4
Train_556,1
Train_557,2
Train_558,3
Train_559,1
Train_560,4
Train_561,4
Train_562,2
Train_563,2
Train_564,0
Train_565,3
Train_566,3
Train_567,1
Train_568,0
Train_569,0
Train_570,3
Train_571,2
Train_572,1
Train_573,1
Train_574,4
Train_575,2
Train_576,3
Train_577,2
Train_578,2
Train_579,4
Train_580,0
Train_581,0
Train_582,3
Train_583,0
Train_584,2
Train_585,1
Train_586,1
Train_587,4
Train_588,4
Train_589,3
Train_590,2
Train_591,3
Train_592,0
Train_593,0
Train_594,1
Train_595,4
Train_596,3
Train_597,2
Train_598,3
Train_599,0
Train_600,1
Train_601,4
Train_602,2
Train_603,0
Train_604,2
Train_605,3
Train_606,1
Train_607,0
Train_608,3
Train_609,2
Train_610,0
Train_611,4
Train_612,1
Train_613,4
Train_614,2
Train_615,3
Train_616,3
Train_617,0
Train_618,4
Train_619,1
Train_620,4
Train_621,2
Train_622,2
Train_623,3
Train_624,0
Train_625,3
Train_626,1
Train_627,1
Train_628,2
Train_629,0
Train_630,0
Train_631,4
Train_632,3
Train_633,3
Train_634,2
Train_635,3
Train_636,3
Train_637,0
Train_638,4
Train_639,2
Train_640,1
Train_641,1
Train_642,0
Train_643,0
Train_644,4
Train_645,1
Train_646,4
Train_647,2
Train_648,2
Train_649,2
Train_650,3
Train_651,0
Train_652,3
Train_653,0
Train_654,1
Train_655,4
Train_656,2
Train_657,3
Train_658,0
Train_659,2
Train_660,0
Train_661,1
Train_662,4
Train_663,2
Train_664,2
Train_665,3
Train_666,4
Train_667,0
Train_668,0
Train_669,1
Train_670,3
Train_671,3
Train_672,4
Train_673,2
Train_674,3
Train_675,1
Train_676,1
Train_677,0
Train_678,2
Train_679,1
Train_680,4
Train_681,2
Train_682,4
Train_683,3
Train_684,0
Train_685,2
Train_686,3
Train_687,3
Train_688,0
Train_689,1
Train_690,4
Train_691,4
Train_692,2
Train_693,3
Train_694,0
Train_695,1
Train_696,1
Train_697,4
Train_698,2
Train_699,0
Train_700,3
Train_701,0
Train_702,1
Train_703,0
Train_704,2
Train_705,3
Train_706,4
Train_707,2
Train_708,3
Train_709,4
Train_710,3
Train_711,0
Train_712,1
Train_713,1
Train_714,4
Train_715,2
Train_716,1
Train_717,4
Train_718,0
Train_719,3
Train_720,3
Train_721,0
Train_722,1
Train_723,4
Train_724,2
Train_725,2
Train_726,2
Train_727,3
Train_728,0
Train_729,0
Train_730,1
Train_731,0
Train_732,3
Train_733,2
Train_734,4
Train_735,1
Train_736,4
Train_737,3
Train_738,1
Train_739,2
Train_740,0
Train_741,3
Train_742,0
Train_743,1
Train_744,3
Train_745,4
Train_746,2
Train_747,3
Train_748,0
Train_749,1
Train_750,4
Train_751,2
Train_752,4
Train_753,2
Train_754,3
Train_755,4
Train_756,2
Train_757,2
Train_758,3
Train_759,0
Train_760,0
Train_761,1
Train_762,4
Train_763,0
Train_764,1
Train_765,4
Train_766,2
Train_767,3
Train_768,0
Train_769,0
Train_770,1
Train_771,2
Train_772,4
Train_773,0
Train_774,3
Train_775,0
Train_776,1
Train_777,3
Train_778,2
Train_779,3
Train_780,2
Train_781,2
Train_782,2
Train_783,3
Train_784,0
Train_785,1
Train_786,4
Train_787,4
Train_788,3
Train_789,2
Train_790,0
Train_791,3
Train_792,0
Train_793,1
Train_794,1
Train_795,0
Train_796,4
Train_797,2
Train_798,3
Train_799,4
Train_800,3
Train_801,0
Train_802,1
Train_803,2
Train_804,1
Train_805,4
Train_806,2
Train_807,4
Train_808,3
Train_809,3
Train_810,0
Train_811,1
Train_812,2
Train_813,4
Train_814,0
Train_815,2
Train_816,3
Train_817,1
Train_818,0
Train_819,0
Train_820,2
Train_821,4
Train_822,3
Train_823,3
Train_824,1
Train_825,2
Train_826,1
Train_827,0
Train_828,1
Train_829,4
Train_830,2
Train_831,2
Train_832,3
Train_833,0
Train_834,1
Train_835,4
Train_836,2
Train_837,4
Train_838,3
Train_839,0
Train_840,1
Train_841,3
Train_842,4
Train_843,2
Train_844,3
Train_845,0
Train_846,0
Train_847,3
Train_848,4
Train_849,1
Train_850,4
Train_851,1
Train_852,2
Train_853,0
Train_854,2
Train_855,3
Train_856,1
Train_857,2
Train_858,0
Train_859,1
Train_860,4
Train_861,2
Train_862,3
Train_863,0
Train_864,1
Train_865,0
Train_866,4
Train_867,3
Train_868,2
Train_869,4
Train_870,2
Train_871,0
Train_872,3
Train_873,3
Train_874,0
Train_875,3
Train_876,2
Train_877,1
Train_878,1
Train_879,0
Train_880,4
Train_881,4
Train_882,3
Train_883,2
Train_884,0
Train_885,1
Train_886,3
Train_887,0
Train_888,1
Train_889,3
Train_890,4
Train_891,2
Train_892,4
Train_893,2
Train_894,0
Train_895,1
Train_896,0
Train_897,4
Train_898,2
Train_899,2
Train_900,3
Train_901,3
Train_902,0
Train_903,1
Train_904,4
Train_905,0
Train_906,2
Train_907,2
Train_908,1
Train_909,2
Train_910,3
Train_911,4
Train_912,3
Train_913,3
Train_914,1
Train_915,0
Train_916,3
Train_917,4
Train_918,0
Train_919,1
Train_920,2
Train_921,0
Train_922,4
Train_923,2
Train_924,3
Train_925,4
Train_926,0
Train_927,1
Train_928,4
Train_929,2
Train_930,2
Train_931,0
Train_932,3
Train_933,0
Train_934,1
Train_935,4
Train_936,1
Train_937,3
Train_938,4
Train_939,2
Train_940,3
Train_941,0
Train_942,3
Train_943,2
Train_944,0
Train_945,1
Train_946,1
Train_947,2
Train_948,4
Train_949,3
Train_950,3
Train_951,0
Train_952,1
Train_953,0
Train_954,2
Train_955,2
Train_956,4
Train_957,1
Train_958,3
Train_959,3
Train_960,3
Train_961,0
Train_962,1
Train_963,4
Train_964,2
Train_965,2
Train_966,3
Train_967,0
Train_968,1
Train_969,4
Train_970,2
Train_971,3
Train_972,0
Train_973,1
Train_974,0
Train_975,4
Train_976,2
Train_977,3
Train_978,4
Train_979,0
Train_980,4
Train_981,2
Train_982,1
Train_983,2
Train_984,0
Train_985,2
Train_986,3
Train_987,0
Train_988,0
Train_989,0
Train_990,3
Train_991,1
Train_992,4
Train_993,2
Train_994,4
Train_995,2
Train_996,3
Train_997,3
Train_998,1
Train_999,0
Train_1000,1
Train_1001,0
Train_1002,3
Train_1003,3
Train_1004,4
Train_1005,2
Train_1006,4
Train_1007,3
Train_1008,0
Train_1009,1
Train_1010,1
Train_1011,2
Train_1012,4
Train_1013,2
Train_1014,3
Train_1015,0
Train_1016,2
Train_1017,1
Train_1018,1
Train_1019,0
Train_1020,4
Train_1021,2
Train_1022,3
Train_1023,2
Train_1024,0
Train_1025,1
Train_1026,0
Train_1027,4
Train_1028,4
Train_1029,3
Train_1030,2
Train_1031,3
Train_1032,2
Train_1033,3
Train_1034,0
Train_1035,1
Train_1036,4
Train_1037,1
Train_1038,4
Train_1039,2
Train_1040,3
Train_1041,2
Train_1042,3
Train_1043,0
Train_1044,1
Train_1045,0
Train_1046,0
Train_1047,1
Train_1048,2
Train_1049,4
Train_1050,2
Train_1051,0
Train_1052,3
Train_1053,0
Train_1054,3
Train_1055,3
Train_1056,1
Train_1057,4
Train_1058,4
Train_1059,2
Train_1060,4
Train_1061,3
Train_1062,2
Train_1063,2
Train_1064,3
Train_1065,0
Train_1066,1
Train_1067,0
Train_1068,1
Train_1069,3
Train_1070,0
Train_1071,4
Train_1072,4
Train_1073,1
Train_1074,2
Train_1075,3
Train_1076,0
Train_1077,1
Train_1078,4
Train_1079,2
Train_1080,3
Train_1081,2
Train_1082,0
Train_1083,1
Train_1084,2
Train_1085,4
Train_1086,2
Train_1087,0
Train_1088,0
Train_1089,3
Train_1090,0
Train_1091,1
Train_1092,1
Train_1093,4
Train_1094,3
Train_1095,4
Train_1096,3
Train_1097,0
Train_1098,2
Train_1099,2
Train_1100,1
Train_1101,4
Train_1102,3
Train_1103,3
Train_1104,0
Train_1105,2
Train_1106,3
Train_1107,0
Train_1108,1
Train_1109,3
Train_1110,2
Train_1111,4
Train_1112,4
Train_1113,1
Train_1114,0
Train_1115,2
Train_1116,4
Train_1117,0
Train_1118,3
Train_1119,0
Train_1120,2
Train_1121,1
Train_1122,3
Train_1123,0
Train_1124,4
Train_1125,1
Train_1126,1
Train_1127,0
Train_1128,2
Train_1129,2
Train_1130,3
Train_1131,3
Train_1132,0
Train_1133,4
Train_1134,2
Train_1135,1
Train_1136,4
Train_1137,0
Train_1138,3
Train_1139,4
Train_1140,2
Train_1141,1
Train_1142,3
Train_1143,0
Train_1144,1
Train_1145,1
Train_1146,3
Train_1147,4
Train_1148,2
Train_1149,4
Train_1150,2
Train_1151,0
Train_1152,2
Train_1153,2
Train_1154,3
Train_1155,0
Train_1156,0
Train_1157,1
Train_1158,4
Train_1159,3
Train_1160,4
Train_1161,2
Train_1162,1
Train_1163,3
Train_1164,3
Train_1165,3
Train_1166,2
Train_1167,1
Train_1168,0
Train_1169,0
Train_1170,1
Train_1171,4
Train_1172,3
Train_1173,4
Train_1174,4
Train_1175,2
Train_1176,3
Train_1177,0
Train_1178,1
Train_1179,0
Train_1180,1
Train_1181,4
Train_1182,2
Train_1183,2
Train_1184,4
Train_1185,3
Train_1186,1
Train_1187,2
Train_1188,3
Train_1189,2
Train_1190,0
Train_1191,0
Train_1192,3
Train_1193,0
Train_1194,1
Train_1195,4
Train_1196,1
Train_1197,4
Train_1198,2
Train_1199,3
Train_1200,0
Train_1201,0
Train_1202,1
Train_1203,4
Train_1204,2
Train_1205,2
Train_1206,3
Train_1207,0
Train_1208,3
Train_1209,0
Train_1210,1
Train_1211,4
Train_1212,1
Train_1213,2
Train_1214,2
Train_1215,4
Train_1216,3
Train_1217,2
Train_1218,1
Train_1219,3
Train_1220,0
Train_1221,1
Train_1222,4
Train_1223,2
Train_1224,3
Train_1225,0
Train_1226,4
Train_1227,1
Train_1228,4
Train_1229,2
Train_1230,3
Train_1231,0
Train_1232,1
Train_1233,0
Train_1234,0
Train_1235,3
Train_1236,4
Train_1237,3
Train_1238,2
Train_1239,3
Train_1240,2
Train_1241,0
Train_1242,1
Train_1243,1
Train_1244,4
Train_1245,4
Train_1246,2
Train_1247,3
Train_1248,3
Train_1249,0
Train_1250,2
Train_1251,0
Train_1252,1
Train_1253,4
Train_1254,2
Train_1255,0
Train_1256,3
Train_1257,0
Train_1258,2
Train_1259,1
Train_1260,4
Train_1261,2
Train_1262,3
Train_1263,0
Train_1264,1
Train_1265,2
Train_1266,3
Train_1267,4
Train_1268,2
Train_1269,4
Train_1270,3
Train_1271,0
Train_1272,1
Train_1273,0
Train_1274,2
Train_1275,3
Train_1276,1
Train_1277,4
Train_1278,0
Train_1279,4
Train_1280,2
Train_1281,1
Train_1282,0
Train_1283,3
Train_1284,4
Train_1285,0
Train_1286,0
Train_1287,1
Train_1288,2
Train_1289,4
Train_1290,2
Train_1291,3
Train_1292,0
Train_1293,1
Train_1294,3
Train_1295,1
Train_1296,4
Train_1297,2
Train_1298,2
Train_1299,3
Train_1300,0
Train_1301,1
Train_1302,1
Train_1303,4
Train_1304,2
Train_1305,0
Train_1306,2
Train_1307,3
Train_1308,3
Train_1309,0
Train_1310,3
Train_1311,1
Train_1312,2
Train_1313,4
Train_1314,3
Train_1315,4
Train_1316,0
Train_1317,2
Train_1318,3
Train_1319,0
Train_1320,2
Train_1321,3
Train_1322,2
Train_1323,4
Train_1324,0
Train_1325,0
Train_1326,1
Train_1327,4
Train_1328,1
Train_1329,3
Train_1330,2
Train_1331,3
Train_1332,3
Train_1333,2
Train_1334,4
Train_1335,0
Train_1336,1
Train_1337,1
Train_1338,4
Train_1339,2
Train_1340,3
Train_1341,0
Train_1342,0
Train_1343,3
Train_1344,2
Train_1345,0
Train_1346,4
Train_1347,1
Train_1348,1
Train_1349,4
Train_1350,4
Train_1351,3
Train_1352,2
Train_1353,3
Train_1354,3
Train_1355,0
Train_1356,1
Train_1357,4
Train_1358,0
Train_1359,1
Train_1360,2
Train_1361,3
Train_1362,0
Train_1363,2
Train_1364,0
Train_1365,3
Train_1366,1
Train_1367,4
Train_1368,2
Train_1369,0
Train_1370,2
Train_1371,2
Train_1372,4
Train_1373,3
Train_1374,3
Train_1375,0
Train_1376,1
Train_1377,0
Train_1378,4
Train_1379,2
Train_1380,3
Train_1381,0
Train_1382,1
Train_1383,1
Train_1384,1
Train_1385,0
Train_1386,3
Train_1387,4
Train_1388,2
Train_1389,1
Train_1390,2
Train_1391,3
Train_1392,0
Train_1393,4
Train_1394,1
Train_1395,4
Train_1396,2
Train_1397,2
Train_1398,0
Train_1399,2
Train_1400,1
Train_1401,1
Train_1402,2
Train_1403,3
Train_1404,3
Train_1405,4
Train_1406,1
Train_1407,0
Train_1408,1
Train_1409,4
Train_1410,0
Train_1411,3
Train_1412,2
Train_1413,1
Train_1414,3
Train_1415,0
Train_1416,1
Train_1417,4
Train_1418,2
Train_1419,2
Train_1420,3
Train_1421,0
Train_1422,3
Train_1423,4
Train_1424,4
Train_1425,0
Train_1426,0
Train_1427,2
Train_1428,1
Train_1429,4
Train_1430,2
Train_1431,2
Train_1432,3
Train_1433,3
Train_1434,1
Train_1435,0
Train_1436,2
Train_1437,1
Train_1438,1
Train_1439,4
Train_1440,0
Train_1441,4
Train_1442,2
Train_1443,0
Train_1444,3
Train_1445,3
Train_1446,4
Train_1447,3
Train_1448,0
Train_1449,1
Train_1450,4
Train_1451,2
Train_1452,3
Train_1453,0
Train_1454,4
Train_1455,4
Train_1456,0
Train_1457,1
Train_1458,0
Train_1459,3
Train_1460,1
Train_1461,2
Train_1462,1
Train_1463,4
Train_1464,1
Train_1465,2
Train_1466,3
Train_1467,0
Train_1468,1
Train_1469,2
Train_1470,4
Train_1471,2
Train_1472,3
Train_1473,0
Train_1474,3
Train_1475,1
Train_1476,4
Train_1477,2
Train_1478,3
Train_1479,0
Train_1480,0
Train_1481,1
Train_1482,4
Train_1483,4
Train_1484,2
Train_1485,4
Train_1486,2
Train_1487,3
Train_1488,0
Train_1489,0
Train_1490,1
Train_1491,3
Train_1492,4
Train_1493,2
Train_1494,2
Train_1495,1
Train_1496,3
Train_1497,3
Train_1498,0
Train_1499,0
Train_1500,1
Train_1501,4
Train_1502,2
Train_1503,3
Train_1504,2
Train_1505,0
Train_1506,0
Train_1507,1
Train_1508,4
Train_1509,2
Train_1510,3
Train_1511,4
Train_1512,3
Train_1513,1
Train_1514,0
Train_1515,3
Train_1516,4
Train_1517,0
Train_1518,1
Train_1519,1
Train_1520,2
Train_1521,0
Train_1522,4
Train_1523,2
Train_1524,3
Train_1525,0
Train_1526,3
Train_1527,1
Train_1528,4
Train_1529,4
Train_1530,2
Train_1531,3
Train_1532,0
Train_1533,4
Train_1534,1
Train_1535,1
Train_1536,2
Train_1537,4
Train_1538,1
Train_1539,4
Train_1540,2
Train_1541,3
Train_1542,3
Train_1543,1
Train_1544,2
Train_1545,3
Train_1546,0
Train_1547,2
Train_1548,1
Train_1549,4
Train_1550,0
Train_1551,2
Train_1552,3
Train_1553,0
Train_1554,1
Train_1555,4
Train_1556,2
Train_1557,1
Train_1558,3
Train_1559,0
Train_1560,0
Train_1561,1
Train_1562,4
Train_1563,3
Train_1564,4
Train_1565,2
Train_1566,1
Train_1567,2
Train_1568,3
Train_1569,4
Train_1570,0
Train_1571,2
Train_1572,3
Train_1573,0
Train_1574,0
Train_1575,3
Train_1576,1
Train_1577,4
Train_1578,2
Train_1579,3
Train_1580,4
Train_1581,0
Train_1582,1
Train_1583,1
Train_1584,4
Train_1585,2
Train_1586,0
Train_1587,2
Train_1588,2
Train_1589,1
Train_1590,3
Train_1591,4
Train_1592,0
Train_1593,1
Train_1594,4
Train_1595,3
Train_1596,2
Train_1597,1
Train_1598,3
Train_1599,0
Train_1600,2
Train_1601,0
Train_1602,1
Train_1603,4
Train_1604,2
Train_1605,3
Train_1606,0
Train_1607,4
Train_1608,2
Train_1609,1
Train_1610,2
Train_1611,3
Train_1612,0
Train_1613,4
Train_1614,4
Train_1615,1
Train_1616,0
Train_1617,4
Train_1618,3
Train_1619,3
Train_1620,2
Train_1621,3
Train_1622,3
Train_1623,0
Train_1624,1
Train_1625,4
Train_1626,1
Train_1627,2
Train_1628,2
Train_1629,3
Train_1630,0
Train_1631,4
Train_1632,0
Train_1633,1
Train_1634,4
Train_1635,4
Train_1636,3
Train_1637,2
Train_1638,2
Train_1639,1
Train_1640,3
Train_1641,0
Train_1642,0
Train_1643,1
Train_1644,1
Train_1645,4
Train_1646,1
Train_1647,1
Train_1648,2
Train_1649,3
Train_1650,0
Train_1651,1
Train_1652,2
Train_1653,3
Train_1654,4
Train_1655,2
Train_1656,3
Train_1657,0
Train_1658,0
Train_1659,1
Train_1660,4
Train_1661,4
Train_1662,0
Train_1663,4
Train_1664,4
Train_1665,2
Train_1666,3
Train_1667,0
Train_1668,3
Train_1669,0
Train_1670,2
Train_1671,1
Train_1672,1
Train_1673,4
Train_1674,2
Train_1675,2
Train_1676,3
Train_1677,0
Train_1678,4
Train_1679,1
Train_1680,2
Train_1681,4
Train_1682,2
Train_1683,0
Train_1684,3
Train_1685,0
Train_1686,3
Train_1687,1
Train_1688,4
Train_1689,2
Train_1690,1
Train_1691,3
Train_1692,3
Train_1693,3
Train_1694,0
Train_1695,0
Train_1696,1
Train_1697,1
Train_1698,4
Train_1699,2
Train_1700,2
Train_1701,4
Train_1702,3
Train_1703,0
Train_1704,1
Train_1705,4
Train_1706,4
Train_1707,2
Train_1708,3
Train_1709,3
Train_1710,0
Train_1711,3
Train_1712,1
Train_1713,1
Train_1714,2
Train_1715,0
Train_1716,4
Train_1717,2
Train_1718,3
Train_1719,0
Train_1720,1
Train_1721,4
Train_1722,2
Train_1723,0
Train_1724,1
Train_1725,4
Train_1726,4
Train_1727,2
Train_1728,3
Train_1729,0
Train_1730,1
Train_1731,4
Train_1732,2
Train_1733,2
Train_1734,3
Train_1735,3
Train_1736,0
Train_1737,1
Train_1738,0
Train_1739,1
Train_1740,1
Train_1741,3
Train_1742,0
Train_1743,4
Train_1744,4
Train_1745,2
Train_1746,4
Train_1747,2
Train_1748,3
Train_1749,2
Train_1750,3
Train_1751,0
Train_1752,0
Train_1753,1
Train_1754,4
Train_1755,1
Train_1756,2
Train_1757,2
Train_1758,3
Train_1759,0
Train_1760,1
Train_1761,1
Train_1762,3
Train_1763,4
Train_1764,0
Train_1765,2
Train_1766,4
Train_1767,3
Train_1768,0
Train_1769,1
Train_1770,1
Train_1771,1
Train_1772,4
Train_1773,2
Train_1774,3
Train_1775,2
Train_1776,3
Train_1777,0
Train_1778,1
Train_1779,4
Train_1780,4
Train_1781,2
Train_1782,3
Train_1783,0
Train_1784,3
Train_1785,0
Train_1786,1
Train_1787,4
Train_1788,4
Train_1789,1
Train_1790,3
Train_1791,0
Train_1792,2
Train_1793,2
Train_1794,3
Train_1795,3
Train_1796,0
Train_1797,1
Train_1798,4
Train_1799,0
Train_1800,2
Train_1801,3
Train_1802,0
Train_1803,1
Train_1804,2
Train_1805,4
Train_1806,2
Train_1807,1
Train_1808,3
Train_1809,4
Train_1810,0
Train_1811,1
Train_1812,2
Train_1813,4
Train_1814,3
Train_1815,4
Train_1816,2
Train_1817,0
Train_1818,0
Train_1819,4
Train_1820,4
Train_1821,2
Train_1822,1
Train_1823,3
Train_1824,3
Train_1825,1
Train_1826,0
Train_1827,0
Train_1828,4
Train_1829,2
Train_1830,1
Train_1831,2
Train_1832,3
Train_1833,0
Train_1834,0
Train_1835,1
Train_1836,2
Train_1837,4
Train_1838,2
Train_1839,1
Train_1840,3
Train_1841,3
Train_1842,0
Train_1843,4
Train_1844,1
Train_1845,4
Train_1846,3
Train_1847,2
Train_1848,4
Train_1849,2
Train_1850,0
Train_1851,1
Train_1852,3
Train_1853,0
Train_1854,0
Train_1855,1
Train_1856,1
Train_1857,4
Train_1858,4
Train_1859,3
Train_1860,2
Train_1861,2
Train_1862,4
Train_1863,2
Train_1864,1
Train_1865,3
Train_1866,3
Train_1867,0
Train_1868,1
Train_1869,4
Train_1870,4
Train_1871,2
Train_1872,2
